MeterKey,DateKey,TimeKey,MeterReading,Source,ApparentTemperature,IsSuspicious,AirTemperature,DewPointTemperature,RelativeHumidity
123,20200117,61500,15.50000,LaTrobe_CSV-orig_20200117062000.csv,NULL,NULL,NULL,NULL,NULL
123,20200111,14500,9.75000,LaTrobe_CSV-orig_20200111014952.csv,NULL,NULL,NULL,NULL,NULL
123,20200318,101500,33.75000,LaTrobe_CSV-orig_20200319090159.csv,NULL,NULL,NULL,NULL,NULL
123,20200107,120000,NULL,LaTrobe_CSV-orig_20200107174415.csv,20.30000,NULL,19.7,15.8,78
123,20200102,44500,10.00000,LaTrobe_CSV-orig_20200102044758.csv,NULL,NULL,NULL,NULL,NULL
123,20200114,74500,27.25000,LaTrobe_CSV-orig_20200114074854.csv,NULL,NULL,NULL,NULL,NULL
123,20200321,4500,9.25000,LaTrobe_CSV-orig_20200321084854.csv,NULL,NULL,NULL,NULL,NULL
123,20200106,204500,NULL,LaTrobe_CSV-orig_20200107092047.csv,NULL,NULL,NULL,NULL,NULL
123,20200319,183000,35.50000,LaTrobe_CSV-orig_20200320074803.csv,27.70000,NULL,28.1,12.5,38
123,20200110,63000,41.00000,LaTrobe_CSV-orig_20200110073254.csv,25.10000,NULL,24.4,13.3,50
123,20200113,234500,8.75000,LaTrobe_CSV-orig_20200114000450.csv,NULL,NULL,NULL,NULL,NULL
123,20200104,40000,9.50000,LaTrobe_CSV-orig_20200104041257.csv,16.40000,NULL,19.3,8,48
123,20200106,20000,NULL,LaTrobe_CSV-orig_20200107092047.csv,9.90000,NULL,11.8,11.8,100
123,20200115,221500,10.00000,LaTrobe_CSV-orig_20200115223159.csv,NULL,NULL,NULL,NULL,NULL
123,20200115,44500,10.75000,LaTrobe_CSV-orig_20200115050157.csv,NULL,NULL,NULL,NULL,NULL
123,20200111,213000,10.50000,LaTrobe_CSV-orig_20200111214810.csv,11.50000,NULL,15.2,8,62
123,20200318,171500,38.00000,LaTrobe_CSV-orig_20200319090159.csv,NULL,NULL,NULL,NULL,NULL
123,20200321,13000,8.75000,LaTrobe_CSV-orig_20200321091755.csv,14.40000,NULL,14.4,14.2,99
123,20200318,184500,34.75000,LaTrobe_CSV-orig_20200319092057.csv,NULL,NULL,NULL,NULL,NULL
123,20200321,14500,8.75000,LaTrobe_CSV-orig_20200321091755.csv,NULL,NULL,NULL,NULL,NULL
123,20200117,133000,43.75000,LaTrobe_CSV-orig_20200117133502.csv,23.40000,NULL,24.1,13.3,51
123,20200106,133000,NULL,LaTrobe_CSV-orig_20200107092047.csv,15.60000,NULL,15.6,14.1,91
123,20200108,130000,38.25000,LaTrobe_CSV-orig_20200109090333.csv,23.80000,NULL,25.3,15.3,54
123,20200319,193000,37.25000,LaTrobe_CSV-orig_20200320083404.csv,26.70000,NULL,26.6,14.4,47
123,20200229,21500,9.75000,LaTrobe_CSV-orig_20200301130601.csv,NULL,NULL,NULL,NULL,NULL
123,20200117,3000,9.25000,LaTrobe_CSV-orig_20200117003150.csv,10.10000,NULL,12.8,8.9,77
123,20200102,114500,45.50000,LaTrobe_CSV-orig_20200102114957.csv,NULL,NULL,NULL,NULL,NULL
123,20200102,131500,51.75000,LaTrobe_CSV-orig_20200102133258.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,210000,11.00000,LaTrobe_CSV-orig_20200110211858.csv,13.40000,NULL,13.2,13.2,100
123,20200318,183000,33.50000,LaTrobe_CSV-orig_20200319092057.csv,25.80000,NULL,26.6,11.1,38
123,20200103,201500,18.00000,LaTrobe_CSV-orig_20200103202107.csv,NULL,NULL,NULL,NULL,NULL
123,20200102,134500,51.50000,LaTrobe_CSV-orig_20200102140258.csv,NULL,NULL,NULL,NULL,NULL
123,20200108,173000,49.75000,LaTrobe_CSV-orig_20200109090333.csv,24.70000,NULL,26.2,15.3,51
123,20200112,51500,9.75000,LaTrobe_CSV-orig_20200112053456.csv,NULL,NULL,NULL,NULL,NULL
123,20200318,181500,35.25000,LaTrobe_CSV-orig_20200319092057.csv,NULL,NULL,NULL,NULL,NULL
123,20200116,211500,11.50000,LaTrobe_CSV-orig_20200116211959.csv,NULL,NULL,NULL,NULL,NULL
123,20200118,44500,10.25000,LaTrobe_CSV-orig_20200118044655.csv,NULL,NULL,NULL,NULL,NULL
123,20200106,90000,NULL,LaTrobe_CSV-orig_20200107092047.csv,13.00000,NULL,12.3,12.3,100
123,20200118,231500,9.75000,LaTrobe_CSV-orig_20200118231901.csv,NULL,NULL,NULL,NULL,NULL
123,20200103,73000,18.50000,LaTrobe_CSV-orig_20200103074903.csv,14.70000,NULL,13.6,13.4,99
123,20200103,184500,59.50000,LaTrobe_CSV-orig_20200103185010.csv,NULL,NULL,NULL,NULL,NULL
123,20200116,173000,27.75000,LaTrobe_CSV-orig_20200116173257.csv,14.80000,NULL,19.4,9.6,53
123,20200106,74500,NULL,LaTrobe_CSV-orig_20200107092047.csv,NULL,NULL,NULL,NULL,NULL
123,20200318,180000,41.75000,LaTrobe_CSV-orig_20200319092057.csv,25.50000,NULL,27,10.7,36
123,20200324,4500,9.00000,LaTrobe_CSV-orig_20200324104953.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,74500,36.50000,LaTrobe_CSV-orig_20200110083156.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,191500,15.50000,LaTrobe_CSV-orig_20200110211858.csv,NULL,NULL,NULL,NULL,NULL
123,20200103,4500,8.75000,LaTrobe_CSV-orig_20200103004951.csv,NULL,NULL,NULL,NULL,NULL
123,20200108,70000,15.25000,LaTrobe_CSV-orig_20200109090333.csv,16.20000,NULL,16.3,16.1,99
123,20200301,84500,8.75000,LaTrobe_CSV-orig_20200301130601.csv,NULL,NULL,NULL,NULL,NULL
123,20200318,174500,43.50000,LaTrobe_CSV-orig_20200319092057.csv,NULL,NULL,NULL,NULL,NULL
123,20200109,24500,11.75000,LaTrobe_CSV-orig_20200109092132.csv,NULL,NULL,NULL,NULL,NULL
123,20200111,123000,11.00000,LaTrobe_CSV-orig_20200111124658.csv,14.00000,NULL,16.7,8.9,60
123,20200114,120000,62.25000,LaTrobe_CSV-orig_20200114121656.csv,28.20000,NULL,27.4,16.4,51
123,20200102,231500,9.50000,LaTrobe_CSV-orig_20200102233302.csv,NULL,NULL,NULL,NULL,NULL
123,20200319,191500,39.00000,LaTrobe_CSV-orig_20200320080203.csv,NULL,NULL,NULL,NULL,NULL
123,20200117,111500,29.25000,LaTrobe_CSV-orig_20200117111802.csv,NULL,NULL,NULL,NULL,NULL
123,20200318,173000,35.50000,LaTrobe_CSV-orig_20200319092057.csv,25.50000,NULL,26.8,11.3,38
123,20200112,31500,9.00000,LaTrobe_CSV-orig_20200112034956.csv,NULL,NULL,NULL,NULL,NULL
123,20200302,1500,9.00000,LaTrobe_CSV-orig_20200303081757.csv,NULL,NULL,NULL,NULL,NULL
123,20200301,1500,9.50000,LaTrobe_CSV-orig_20200302214958.csv,NULL,NULL,NULL,NULL,NULL
123,20200324,3000,9.50000,LaTrobe_CSV-orig_20200324104953.csv,9.10000,NULL,10,6,76
123,20200113,120000,47.75000,LaTrobe_CSV-orig_20200113120200.csv,24.90000,NULL,27.2,10.4,35
123,20200112,23000,8.50000,LaTrobe_CSV-orig_20200112023152.csv,12.40000,NULL,13.3,12.5,95
